Gene_ID,Gene_symbol,Entrez_ID,Chr,Start,End,Middle,Strand
ENSMUSG00000000168,Dlat,235339,9,50.634633,50.65978,50.6472065,-
ENSMUSG00000000171,Sdhd,66925,9,50.596338,50.603849,50.6000935,-
ENSMUSG00000000183,Fgf6,14177,6,127.015586,127.028187,127.0218865,+
ENSMUSG00000000184,Ccnd2,12444,6,127.125162,127.152193,127.1386775,-
ENSMUSG00000000194,Gpr107,277463,2,31.152316,31.218775,31.1855455,+
ENSMUSG00000000197,Nalcn,338370,14,123.276641,123.627144,123.4518925,-
ENSMUSG00000000202,Btbd17,72014,11,114.791217,114.795945,114.793581,-
ENSMUSG00000000204,Slfn4,20558,11,83.175186,83.190221,83.1827035,+
ENSMUSG00000000214,Th,21823,7,142.892752,142.931128,142.91194,-
ENSMUSG00000000223,Drp2,13497,X,134.404551,134.456573,134.430562,+
ENSMUSG00000000244,Tspan32,27027,7,143.005046,143.019644,143.012345,+
ENSMUSG00000000247,Lhx2,16870,2,38.339281,38.369733,38.354507,+
ENSMUSG00000000253,Gmpr,66355,13,45.507444,45.546382,45.526913,+
ENSMUSG00000000266,Mid2,23947,X,140.664599,140.767715,140.716157,+
ENSMUSG00000000275,Trim25,217069,11,88.999376,89.020293,89.0098345,+
ENSMUSG00000000276,Dgke,56077,11,89.035179,89.06685,89.0510145,-
ENSMUSG00000000278,Scpep1,74617,11,88.92402,88.955465,88.9397425,-
ENSMUSG00000000282,Mnt,17428,11,74.83092,74.845725,74.8383225,+
ENSMUSG00000000290,Itgb2,16414,10,77.530252,77.565708,77.54798,+
ENSMUSG00000000295,Hddc2,69692,10,31.313382,31.328204,31.320793,+
ENSMUSG00000000296,Tpd52l1,21987,10,31.33238,31.445921,31.3891505,-
ENSMUSG00000000301,Pemt,18618,11,59.970614,60.046489,60.0085515,-
ENSMUSG00000000303,Cdh1,12550,8,106.603351,106.670246,106.6367985,+
ENSMUSG00000000305,Cdh4,12561,2,179.442431,179.899373,179.670902,+
ENSMUSG00000000308,Ckmt1,12716,2,121.357714,121.363737,121.3607255,+
ENSMUSG00000000317,Bcl6b,12029,11,70.224128,70.229798,70.226963,-
ENSMUSG00000000318,Clec10a,17312,11,70.156197,70.170834,70.1635155,+
ENSMUSG00000000320,Alox12,11684,11,70.241457,70.255353,70.248405,-
ENSMUSG00000000325,Arvcf,11877,16,18.348182,18.407076,18.377629,+
ENSMUSG00000000326,Comt,12846,16,18.406886,18.426852,18.416869,-
ENSMUSG00000000339,Rtca,66368,3,116.488963,116.508208,116.4985855,-
ENSMUSG00000000340,Dbt,13171,3,116.51307,116.549981,116.5315255,+
ENSMUSG00000000346,Dazap2,23994,15,100.615628,100.620731,100.6181795,+
ENSMUSG00000000355,Mcts1,68995,X,38.600578,38.613426,38.607002,+
ENSMUSG00000000359,Rem1,19700,2,152.626951,152.635198,152.6310745,+
ENSMUSG00000000365,Rnf17,30054,14,56.402697,56.525032,56.4638645,+
ENSMUSG00000000374,Trappc10,216131,10,78.186725,78.244642,78.2156835,-
ENSMUSG00000000378,Ccm2,216527,11,6.546887,6.596744,6.5718155,+
ENSMUSG00000000384,Tbrg4,21379,11,6.615598,6.626067,6.6208325,-
ENSMUSG00000000385,Tmprss2,50528,16,97.564684,97.611195,97.5879395,-
ENSMUSG00000000386,Mx1,97243,16,97.447035,97.462907,97.454971,-
ENSMUSG00000000392,Fap,14089,2,62.500943,62.574075,62.537509,-
ENSMUSG00000000399,Ndufa9,66108,6,126.821721,126.849136,126.8354285,-
ENSMUSG00000000402,Egfl6,54156,X,166.523007,166.58572,166.5543635,-
ENSMUSG00000000409,Lck,16818,4,129.548344,129.573641,129.5609925,-
ENSMUSG00000000416,Cttnbp2,30785,6,18.366478,18.514843,18.4406605,-
ENSMUSG00000000420,Galnt1,14423,18,24.205344,24.286818,24.246081,+
ENSMUSG00000000435,Myf5,17877,10,107.482908,107.486134,107.484521,-
ENSMUSG00000000439,Mkrn2,67027,6,115.601902,115.622624,115.612263,+
ENSMUSG00000000440,Pparg,19016,6,115.360951,115.490399,115.425675,+
ENSMUSG00000000441,Raf1,110157,6,115.618067,115.676635,115.647351,-
ENSMUSG00000000486,1-Sep,54204,7,127.214447,127.23313,127.2237885,-
ENSMUSG00000000489,Pdgfb,18591,15,79.9959,80.014808,80.005354,-
ENSMUSG00000000530,Acvrl1,11482,15,101.128522,101.145336,101.136929,+
ENSMUSG00000000531,Grasp,56149,15,101.224207,101.232755,101.228481,+
ENSMUSG00000000532,Acvr1b,11479,15,101.174067,101.213679,101.193873,+
ENSMUSG00000000538,Tom1l2,216810,11,60.226714,60.352905,60.2898095,-
ENSMUSG00000000552,Zfp385a,29813,15,103.313895,103.340086,103.3269905,-
ENSMUSG00000000555,Itga5,16402,15,103.344289,103.366763,103.355526,-
ENSMUSG00000000560,Gabra2,14395,5,70.957597,71.095849,71.026723,-
ENSMUSG00000000561,Wdr77,70465,3,105.959369,105.970037,105.964703,+
ENSMUSG00000000562,Adora3,11542,3,105.870858,105.908926,105.889892,+
ENSMUSG00000000563,Atp5f1,11950,3,105.942698,105.960099,105.9513985,-
ENSMUSG00000000567,Sox9,20682,11,112.782224,112.78776,112.784992,+
ENSMUSG00000000568,Hnrnpd,11991,5,99.955935,99.978938,99.9674365,-
ENSMUSG00000000579,Dynlt1c,100040563,17,6.601671,6.609774,6.6057225,+
ENSMUSG00000000581,C1d,57316,11,17.257579,17.269176,17.2633775,+
ENSMUSG00000000594,Gm2a,14667,11,55.098115,55.113029,55.105572,+
ENSMUSG00000000600,Krit1,79264,5,3.803184,3.845564,3.824374,+
ENSMUSG00000000605,Clcn4,12727,7,7.282316,7.299511,7.2909135,-
ENSMUSG00000000627,Sema4f,20355,6,82.911885,82.939769,82.925827,-
ENSMUSG00000000628,Hk2,15277,6,82.725025,82.774454,82.7497395,-
ENSMUSG00000000631,Myo18a,360013,11,77.763246,77.86598,77.814613,+
ENSMUSG00000000632,Sez6,20370,11,77.9308,77.979048,77.954924,+
ENSMUSG00000000673,Haao,107766,17,83.831356,83.84679,83.839073,-
ENSMUSG00000000682,Cd52,23833,4,134.082448,134.095082,134.088765,-
ENSMUSG00000000686,Abhd15,67477,11,77.515121,77.538607,77.526864,+
ENSMUSG00000000690,Hoxb6,15414,11,96.292476,96.301569,96.2970225,+
ENSMUSG00000000693,Loxl3,16950,6,83.034173,83.052562,83.0433675,+
ENSMUSG00000000708,Kat2b,18519,17,53.566861,53.67272,53.6197905,+
ENSMUSG00000000711,Rab5b,19344,10,128.677193,128.696268,128.6867305,-
ENSMUSG00000000732,Icosl,50723,10,78.06936,78.079525,78.0744425,+
ENSMUSG00000000738,Spg7,234847,8,123.062942,123.09776,123.080351,+
ENSMUSG00000000739,Sult5a1,57429,8,123.142847,123.158315,123.150581,-
ENSMUSG00000000740,Rpl13,270106,8,123.10235,123.105244,123.103797,+
ENSMUSG00000000743,Chmp1a,234852,8,123.204264,123.212763,123.2085135,-
ENSMUSG00000000751,Rpa1,68275,11,75.298166,75.348324,75.323245,-
ENSMUSG00000000753,Serpinf1,20317,11,75.409769,75.422701,75.416235,-
ENSMUSG00000000759,Tubgcp3,259279,8,12.614277,12.672248,12.6432625,-
ENSMUSG00000000776,Polr3d,67065,14,70.438748,70.443471,70.4411095,-
ENSMUSG00000000782,Tcf7,21414,11,52.252371,52.283014,52.2676925,-
ENSMUSG00000000787,Ddx3x,13205,X,13.28097,13.294052,13.287511,+
ENSMUSG00000000791,Il12rb1,16161,8,70.808449,70.821424,70.8149365,+
ENSMUSG00000000792,Slc5a5,114479,8,70.882889,70.892757,70.887823,-
ENSMUSG00000000794,Kcnn3,140493,3,89.520164,89.675132,89.597648,+
ENSMUSG00000000804,Usp32,237898,11,84.984442,85.140161,85.0623015,-
ENSMUSG00000000805,Car4,12351,11,84.957786,84.966044,84.961915,+
ENSMUSG00000000811,Txnrd3,232223,6,89.643988,89.675529,89.6597585,+
ENSMUSG00000000823,Zfp512b,269401,2,181.582103,181.592803,181.587453,-
ENSMUSG00000000826,Dnajc5,13002,2,181.520485,181.555133,181.537809,+
ENSMUSG00000000827,Tpd52l2,66314,2,181.497142,181.517966,181.507554,+
ENSMUSG00000000838,Fmr1,14265,X,68.678541,68.717963,68.698252,+
ENSMUSG00000000861,Bcl11a,14025,11,24.078056,24.174123,24.1260895,+
ENSMUSG00000000876,Pxmp4,59038,2,154.585758,154.603708,154.594733,-
ENSMUSG00000000881,Dlg3,53310,X,100.767722,100.81841,100.793066,+
ENSMUSG00000000884,Gnb1l,13972,16,18.498768,18.566679,18.5327235,+
ENSMUSG00000000901,Mmp11,17385,10,75.923222,75.932502,75.927862,-
ENSMUSG00000000902,Smarcb1,20587,10,75.896769,75.921617,75.909193,-
ENSMUSG00000000903,Vpreb3,22364,10,75.943057,75.949657,75.946357,+
ENSMUSG00000000915,Hip1r,29816,5,123.973628,124.005558,123.989593,+
ENSMUSG00000000916,Nsun5,100609,5,135.369953,135.376805,135.373379,+
ENSMUSG00000000934,Top1mt,72960,15,75.657035,75.6788,75.6679175,-
ENSMUSG00000000938,Hoxa10,15395,6,52.231197,52.240854,52.2360255,-
ENSMUSG00000000942,Hoxa4,15401,6,52.189671,52.191753,52.190712,-
ENSMUSG00000000948,Gm38393,5613898,7,59.974149,60.005064,59.9896065,-
ENSMUSG00000000957,Mmp14,17387,14,54.431612,54.441265,54.4364385,+
ENSMUSG00000000958,Slc7a7,20540,14,54.369442,54.41778,54.393611,-
ENSMUSG00000000959,Oxa1l,69089,14,54.360841,54.369673,54.365257,+
ENSMUSG00000000976,Heatr6,217026,11,83.753696,83.783754,83.768725,+
ENSMUSG00000001014,Icam4,78369,9,21.029373,21.030531,21.029952,+
ENSMUSG00000001016,Ilf2,67781,3,90.476126,90.488379,90.4822525,+
ENSMUSG00000001017,Chtop,66511,3,90.498956,90.509498,90.504227,-
ENSMUSG00000001018,Snapin,20615,3,90.488026,90.491033,90.4895295,-
ENSMUSG00000001020,S100a4,20198,3,90.603771,90.606045,90.604908,+
ENSMUSG00000001023,S100a5,20199,3,90.608523,90.61178,90.6101515,+
ENSMUSG00000001025,S100a6,20200,3,90.612882,90.624181,90.6185315,+
ENSMUSG00000001027,Scn4a,110880,11,106.318592,106.353288,106.33594,-
ENSMUSG00000001029,Icam2,15896,11,106.377656,106.388075,106.3828655,-
ENSMUSG00000001034,Mapk7,23939,11,61.488812,61.494406,61.491609,-
ENSMUSG00000001036,Epn2,13855,11,61.517249,61.579687,61.548468,-
ENSMUSG00000001039,B9d1,27078,11,61.505144,61.512931,61.5090375,+
ENSMUSG00000001052,Sec24b,99683,3,129.982759,130.061553,130.022156,-
ENSMUSG00000001053,N4bp3,212706,11,51.643063,51.650842,51.6469525,-
ENSMUSG00000001054,Rmnd5b,66089,11,51.623671,51.635896,51.6297835,-
ENSMUSG00000001056,Nhp2,52530,11,51.619735,51.623714,51.6217245,+
ENSMUSG00000001062,Vps9d1,72325,8,123.242356,123.254348,123.248352,-
ENSMUSG00000001065,Zfp276,57247,8,123.254195,123.269745,123.26197,+
ENSMUSG00000001082,Mfsd10,68294,5,34.633642,34.637212,34.635427,-
ENSMUSG00000001089,Luzp1,269593,4,136.469761,136.55478,136.5122705,+
ENSMUSG00000001098,Kctd10,330171,5,114.363567,114.380508,114.3720375,-
ENSMUSG00000001100,Poldip2,67811,11,78.512193,78.522736,78.5174645,+
ENSMUSG00000001103,Sebox,18292,11,78.503447,78.505081,78.504264,+
ENSMUSG00000001105,Ift20,55978,11,78.536361,78.541737,78.539049,+
ENSMUSG00000001119,Col6a1,12833,10,76.708792,76.726168,76.71748,-
ENSMUSG00000001120,Pcbp3,59093,10,76.761857,76.961887,76.861872,-
ENSMUSG00000001123,Lgals9,16859,11,78.962974,78.984946,78.97396,-
ENSMUSG00000001127,Araf,11836,X,20.797814,20.860519,20.8291665,+
ENSMUSG00000001128,Cfp,18636,X,20.925454,20.931555,20.9285045,-
ENSMUSG00000001131,Timp1,21857,X,20.870166,20.874735,20.8724505,+
ENSMUSG00000001134,Uxt,22294,X,20.941722,20.962017,20.9518695,-
ENSMUSG00000001138,Cnnm3,94218,1,36.511867,36.528237,36.520052,+
ENSMUSG00000001143,Lman2l,214895,1,36.419871,36.445271,36.432571,-
ENSMUSG00000001150,Mcm3ap,54387,10,76.468971,76.515856,76.4924135,+
ENSMUSG00000001151,Pcnt,18541,10,76.351254,76.442912,76.397083,-
ENSMUSG00000001155,Ftcd,14317,10,76.575648,76.590338,76.582993,+
ENSMUSG00000001156,Mxd1,17119,6,86.647042,86.669161,86.6581015,-
ENSMUSG00000001157,Gmcl1,23885,6,86.691768,86.733383,86.7125755,-
ENSMUSG00000001158,Snrnp27,66618,6,86.675151,86.684522,86.6798365,-
ENSMUSG00000001166,Oas1c,114643,5,120.800194,120.812514,120.806354,-
ENSMUSG00000001173,Ocrl,320634,X,47.912387,47.965868,47.9391275,+
ENSMUSG00000001175,Calm1,12313,12,100.199435,100.209806,100.2046205,+
ENSMUSG00000001211,Agpat3,28169,10,78.269178,78.352489,78.3108335,-
ENSMUSG00000001227,Sema6b,20359,17,56.123085,56.140343,56.131714,-
ENSMUSG00000001228,Uhrf1,18140,17,56.303321,56.323486,56.3134035,+
ENSMUSG00000001229,Dpp9,224897,17,56.186682,56.218889,56.2027855,-
ENSMUSG00000001240,Ramp2,54409,11,101.246028,101.259546,101.252787,+
ENSMUSG00000001247,Lsr,54135,7,30.95777,30.973464,30.965617,-
ENSMUSG00000001248,Gramd1a,52857,7,31.130127,31.155896,31.1430115,-
ENSMUSG00000001249,Hpn,15451,7,31.098725,31.11529,31.1070075,-
ENSMUSG00000001260,Gabrg1,14405,5,70.751047,70.842617,70.796832,-
ENSMUSG00000001270,Ckb,12709,12,111.669355,111.672338,111.6708465,-
ENSMUSG00000001280,Sp1,20683,15,102.406143,102.436404,102.4212735,+
ENSMUSG00000001281,Itgb7,16421,15,102.215995,102.231935,102.223965,-
ENSMUSG00000001285,Myg1,60315,15,102.331709,102.338139,102.334924,+
ENSMUSG00000001288,Rarg,19411,15,102.234938,102.257517,102.2462275,-
ENSMUSG00000001289,Pfdn5,56612,15,102.326116,102.331873,102.3289945,+
ENSMUSG00000001300,Efnb2,13642,8,8.617434,8.661242,8.639338,-
ENSMUSG00000001305,Rrp15,67223,1,186.720978,186.749358,186.735168,-
ENSMUSG00000001313,Rnd2,11858,11,101.464999,101.471853,101.468426,+
ENSMUSG00000001323,Srr,27364,11,74.906359,74.925948,74.9161535,-
ENSMUSG00000001333,Sync,68828,4,129.287617,129.308559,129.298088,+
ENSMUSG00000001334,Fndc5,384061,4,129.136999,129.144593,129.140796,+
ENSMUSG00000001348,Acp5,11433,9,22.126731,22.135746,22.1312385,-
ENSMUSG00000001349,Cnn1,12797,9,22.099281,22.10963,22.1044555,+
ENSMUSG00000001366,Fbxo9,71538,9,78.081499,78.109065,78.095282,-
ENSMUSG00000001376,Vps50,73288,6,3.498382,3.603531,3.5509565,+
ENSMUSG00000001380,Hars,15115,18,36.76653,36.783205,36.7748675,-
ENSMUSG00000001383,Zmat2,66492,18,36.793923,36.79966,36.7967915,+
ENSMUSG00000001403,Ube2c,68612,2,164.769898,164.778822,164.77436,+
ENSMUSG00000001415,Smg5,229512,3,88.33626,88.362338,88.349299,+
ENSMUSG00000001416,Cct3,12462,3,88.297116,88.321767,88.3094415,+
ENSMUSG00000001418,Glmp,56700,3,88.325023,88.331313,88.328168,+
ENSMUSG00000001419,Mef2d,17261,3,88.142372,88.172086,88.157229,+
ENSMUSG00000001420,Tmem79,71913,3,88.328655,88.336148,88.3324015,-
ENSMUSG00000001424,Snd1,56463,6,28.475139,28.935162,28.7051505,+
ENSMUSG00000001435,Col18a1,12822,10,77.052178,77.166548,77.109363,-
ENSMUSG00000001436,Slc19a1,20509,10,77.032241,77.061002,77.0466215,+
ENSMUSG00000001440,Kpnb1,16211,11,97.159714,97.187881,97.1737975,-
ENSMUSG00000001441,Npepps,19155,11,97.205842,97.280638,97.24324,-
ENSMUSG00000001444,Tbx21,57765,11,97.098071,97.115331,97.106701,-
ENSMUSG00000001445,Mrpl10,107732,11,97.04156,97.049213,97.0453865,+
ENSMUSG00000001467,Cyp51,13121,5,4.081145,4.104746,4.0929455,-
ENSMUSG00000001472,Tcf25,66855,8,123.373824,123.404173,123.3889985,+
ENSMUSG00000001473,Tubb6,67951,18,67.390717,67.402748,67.3967325,+
ENSMUSG00000001482,Def8,23854,8,123.442986,123.46327,123.453128,+
ENSMUSG00000001493,Meox1,17285,11,101.87751,101.894374,101.885942,-
ENSMUSG00000001497,Pax9,18511,12,56.691767,56.712822,56.7022945,+
ENSMUSG00000001504,Irx2,16372,13,72.62882,72.634198,72.631509,+
ENSMUSG00000001506,Col1a1,12842,11,94.936224,94.953042,94.944633,+
ENSMUSG00000001507,Itga3,16400,11,95.044474,95.076801,95.0606375,-
ENSMUSG00000001508,Sgca,20391,11,94.962791,94.976327,94.969559,-
ENSMUSG00000001517,Foxm1,14235,6,128.362967,128.376146,128.3695565,+
ENSMUSG00000001518,Itfg2,101142,6,128.409444,128.424931,128.4171875,-
ENSMUSG00000001520,Nrip2,60345,6,128.399296,128.416427,128.4078615,+
ENSMUSG00000001521,Tulp3,22158,6,128.321161,128.355851,128.338506,-
ENSMUSG00000001524,Gtf2h4,14885,17,35.66773,35.673739,35.6707345,-
ENSMUSG00000001525,Tubb5,22154,17,35.833921,35.838306,35.8361135,-
ENSMUSG00000001542,Ell2,192657,13,75.707484,75.772356,75.73992,+
ENSMUSG00000001552,Jup,16480,11,100.368958,100.397763,100.3833605,-
ENSMUSG00000001555,Fkbp10,14230,11,100.415697,100.424824,100.4202605,+
ENSMUSG00000001558,Klhl10,66720,11,100.441917,100.457022,100.4494695,+
ENSMUSG00000001569,Nom1,433864,5,29.434664,29.457843,29.4462535,+
ENSMUSG00000001576,Ergic1,67458,17,26.561489,26.656931,26.60921,+
ENSMUSG00000001583,Tnk1,83813,11,69.851005,69.85873,69.8548675,-
ENSMUSG00000001588,Acap1,216859,11,69.881567,69.895539,69.888553,-
ENSMUSG00000001604,Tcea3,21401,4,136.247729,136.274898,136.2613135,+
ENSMUSG00000001627,Ifrd1,15982,12,40.201567,40.248504,40.2250355,-
ENSMUSG00000001630,Stk38l,232533,6,146.724995,146.778812,146.7519035,+
ENSMUSG00000001632,Brpf1,78783,6,113.307137,113.32486,113.3159985,+
ENSMUSG00000001642,Akr1b3,11677,6,34.302434,34.317478,34.309956,-
ENSMUSG00000001656,Hoxc11,109663,15,102.954427,102.957708,102.9560675,+
ENSMUSG00000001657,Hoxc8,15426,15,102.990607,102.994111,102.992359,+
ENSMUSG00000001661,Hoxc6,15425,15,102.998257,103.011881,103.005069,+
ENSMUSG00000001663,Gstt1,14871,10,75.783813,75.798584,75.7911985,-
ENSMUSG00000001665,Gstt3,103140,10,75.774115,75.781414,75.7777645,-
ENSMUSG00000001666,Ddt,13202,10,75.77123,75.773414,75.772322,-
ENSMUSG00000001670,Tat,234724,8,109.990437,109.999803,109.99512,+
ENSMUSG00000001672,Marveld3,73608,8,109.947914,109.962203,109.9550585,-
ENSMUSG00000001674,Ddx18,66942,1,121.553835,121.567989,121.560912,-
ENSMUSG00000001687,Ubl3,24109,5,148.504635,148.552789,148.528712,-
ENSMUSG00000001700,Gramd3,107022,18,56.432132,56.503792,56.467962,+
ENSMUSG00000001707,Eef1e1,66143,13,38.645698,38.659028,38.652363,-
ENSMUSG00000001729,Akt1,11651,12,112.653821,112.674884,112.6643525,-
ENSMUSG00000001739,Cldn15,60363,5,136.966616,136.975858,136.971237,+
ENSMUSG00000001741,Il16,16170,7,83.642825,83.745726,83.6942755,-
ENSMUSG00000001750,Tcirg1,27060,19,3.89605,3.907133,3.9015915,-
ENSMUSG00000001751,Naglu,27419,11,101.070012,101.077672,101.073842,+
ENSMUSG00000001755,Coasy,71743,11,101.082565,101.086619,101.084592,+
ENSMUSG00000001761,Smo,319757,6,29.735503,29.761365,29.748434,+
ENSMUSG00000001763,Tspan33,232670,6,29.694222,29.718559,29.7063905,+
ENSMUSG00000001767,Crnkl1,66877,2,145.917479,145.935014,145.9262465,-
ENSMUSG00000001768,Rin2,74030,2,145.784734,145.887616,145.836175,+
ENSMUSG00000001773,Folh1,53320,7,86.718977,86.775943,86.74746,-
ENSMUSG00000001774,Chordc1,66917,9,18.292267,18.314,18.3031335,+
ENSMUSG00000001783,Rtcb,28088,10,85.938637,85.957823,85.94823,-
ENSMUSG00000001785,Pwp1,103136,10,85.871831,85.889096,85.8804635,+
ENSMUSG00000001786,Fbxo7,69754,10,86.021972,86.051873,86.0369225,+
ENSMUSG00000001794,Capns1,12336,7,30.186936,30.198811,30.1928735,-
ENSMUSG00000001802,Lrp3,435965,7,35.200027,35.215498,35.2077625,-
ENSMUSG00000001827,Folr1,14275,7,101.858331,101.870788,101.8645595,-
ENSMUSG00000001829,Clpb,20480,7,101.663633,101.790168,101.7269005,+
ENSMUSG00000001833,7-Sep,235072,9,25.252439,25.308571,25.280505,+
ENSMUSG00000001844,Zdhhc4,72881,5,143.316489,143.329256,143.3228725,-
ENSMUSG00000001847,Rac1,19353,5,143.503634,143.528036,143.515835,-
ENSMUSG00000001855,Nup214,227720,2,31.974436,32.053975,32.0142055,+
ENSMUSG00000001864,Aif1l,108897,2,31.950139,31.973442,31.9617905,+
ENSMUSG00000001865,Cpa3,12873,3,20.21562,20.242181,20.2289005,-
ENSMUSG00000001870,Ltbp1,268977,17,75.005568,75.392512,75.19904,+
ENSMUSG00000001891,Ugp2,216558,11,21.321138,21.371201,21.3461695,-
ENSMUSG00000001909,Trmt1,212528,8,84.686307,84.699808,84.6930575,+
ENSMUSG00000001910,Nacc1,66830,8,84.670483,84.687862,84.6791725,-
ENSMUSG00000001911,Nfix,18032,8,84.699876,84.800344,84.75011,-
ENSMUSG00000001918,Slc1a5,20514,7,16.78134,16.798274,16.789807,+
ENSMUSG00000001924,Uba1,22201,X,20.658326,20.683179,20.6707525,+
ENSMUSG00000001930,Vwf,22371,6,125.546774,125.686679,125.6167265,+
ENSMUSG00000001942,Siae,22619,9,37.613847,37.648318,37.6310825,+
ENSMUSG00000001943,Vsig2,57276,9,37.539255,37.544205,37.54173,+
ENSMUSG00000001946,Esam,69524,9,37.528078,37.538319,37.5331985,+
ENSMUSG00000001948,Spa17,20686,9,37.603295,37.61372,37.6085075,-
ENSMUSG00000001962,Fam50a,108160,X,74.313033,74.320149,74.316591,+
ENSMUSG00000001964,Emd,13726,X,74.254687,74.261548,74.2581175,+
ENSMUSG00000001983,Taco1,70207,11,106.066061,106.073612,106.0698365,+
ENSMUSG00000001985,Grik3,14807,4,125.4907,125.714173,125.6024365,+
ENSMUSG00000001986,Gria3,53623,X,41.400854,41.678601,41.5397275,+
ENSMUSG00000001988,Npas1,18142,7,16.455721,16.47678,16.4662505,-
ENSMUSG00000001995,Sipa1l2,244668,8,125.418063,125.49271,125.4553865,-
ENSMUSG00000001998,Ap4e1,108011,2,127.008717,127.067909,127.038313,+
ENSMUSG00000001999,Blvra,109778,2,127.070665,127.097084,127.0838745,+
ENSMUSG00000002006,Pdzd4,245469,X,73.793359,73.824969,73.809164,-
ENSMUSG00000002007,Srpk3,56504,X,73.774405,73.778925,73.776665,+
ENSMUSG00000002010,Idh3g,15929,X,73.778963,73.786897,73.78293,-
ENSMUSG00000002012,Pnck,93843,X,73.655994,73.660117,73.6580555,-
ENSMUSG00000002014,Ssr4,20832,X,73.787028,73.79083,73.788929,+
ENSMUSG00000002015,Bcap31,27061,X,73.686178,73.716175,73.7011765,-
ENSMUSG00000002017,Fam98a,72722,17,75.537086,75.551946,75.544516,-
ENSMUSG00000002020,Ltbp2,16997,12,84.783212,84.876532,84.829872,-
ENSMUSG00000002028,Kmt2a,214162,9,44.803355,44.881296,44.8423255,-
ENSMUSG00000002031,Ift46,76568,9,44.767908,44.792714,44.780311,+
ENSMUSG00000002032,Tmem25,71687,9,44.793776,44.799307,44.7965415,-
ENSMUSG00000002033,Cd3g,12502,9,44.969572,44.980431,44.9750015,-
ENSMUSG00000002043,Trappc6a,67091,7,19.508395,19.516145,19.51227,+
ENSMUSG00000002052,Supt6,20926,11,78.206746,78.245987,78.2263665,-
ENSMUSG00000002055,Spag5,54141,11,78.301529,78.322457,78.311993,+
ENSMUSG00000002058,Unc119,22248,11,78.343482,78.349164,78.346323,+
ENSMUSG00000002059,Rab34,19376,11,78.18843,78.192193,78.1903115,+
ENSMUSG00000002064,Sdf2,20316,11,78.245746,78.255496,78.250621,+
ENSMUSG00000002068,Ccne1,12447,7,38.097984,38.107534,38.102759,-
ENSMUSG00000002076,Hsf2bp,74377,17,31.944769,32.034508,31.9896385,-
ENSMUSG00000002083,Bbc3,170770,7,16.309616,16.318205,16.3139105,+
ENSMUSG00000002102,Psmc3,19182,2,91.054009,91.066369,91.060189,+
ENSMUSG00000002103,Acp2,11432,2,91.202885,91.214098,91.2084915,+
ENSMUSG00000002104,Rapsn,19400,2,91.03562,91.045729,91.0406745,+
ENSMUSG00000002105,Slc39a13,68427,2,91.061791,91.070417,91.066104,-
ENSMUSG00000002107,Celf2,14007,2,6.539694,7.509563,7.0246285,-
ENSMUSG00000002108,Nr1h3,22259,2,91.184061,91.202834,91.1934475,-
ENSMUSG00000002109,Ddb2,107986,2,91.211572,91.236982,91.224277,-
ENSMUSG00000002111,Spi1,20375,2,91.08239,91.115756,91.099073,+
ENSMUSG00000002129,Sf3a1,67465,11,4.16035,4.182541,4.1714455,+
ENSMUSG00000002147,Stat6,20852,10,127.642986,127.660957,127.6519715,+
ENSMUSG00000002204,Napsa,16541,7,44.57238,44.586862,44.579621,+
